recipe_tag	coefficient
tortillabowl	-0.025856607252494966
tortillachips	-0.046637379080494895
tortillas	0.032382416802199845
traditional	0.00920599922096686
twisted	0.007385817345516162
udonnoodles	0.016347984037327977
vanilla	-0.029671238888705875
vanillaicecream	-0.0077415080176158006
vegan	0.07088870061758099
vegetables	0.02442021805132022
vegetarian	-0.02501425085490315
warm	-0.0129677416995364
whippedcream	-0.0077415080176158006
winter	0.022072913360754877
yeastdough	0.007385817345516162
